,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Age_Years,Is_Active
1253,Full-Time,Zone C,Temporary,IT/IS,General - Con,MA,Laborer,Male,33673,Other,Divorced,48.98,1
106,Contract,Zone B,Full-Time,Sales,General - Sga,ND,Administrator,Male,65183,White,Married,58.06,1
255,Full-Time,Zone C,Temporary,Production       ,Field Operations,MA,Technician,Female,37646,Black,Single,,1
2295,Contract,Zone C,Temporary,Sales,General - Con,AL,Technician,Male,15704,White,Single,45.89,1
822,Full-Time,Zone A,Part-Time,Production       ,Field Operations,MA,Driver,Female,46879,Asian,Divorced,,1
1376,Full-Time,Zone C,Full-Time,Production       ,General - Eng,MA,Billing,Female,69859,Other,Divorced,42.16,1
2368,Part-Time,Zone C,Temporary,Production       ,General - Eng,MA,Drafter,Female,74746,Asian,Single,,1
1483,Full-Time,Zone C,Full-Time,Production       ,General - Eng,MA,Drafter,Female,48973,Hispanic,Divorced,82.48,1
2755,Contract,Zone B,Temporary,Production       ,Field Operations,MA,Technician,Female,55287,White,Married,,1
2990,Part-Time,Zone A,Part-Time,Production       ,Splicing,MA,Splicer,Female,71282,Other,Widowed,,1
1661,Contract,Zone B,Full-Time,Production       ,Yard (Material Handling),MA,Coordinator,Female,37040,White,Divorced,,1
66,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,CO,Project Manager,Male,28784,Asian,Widowed,,1
1184,Full-Time,Zone C,Part-Time,Production       ,Project Management - Con,MA,Coordinator,Female,53913,Hispanic,Widowed,,1
739,Full-Time,Zone A,Temporary,Production       ,Field Operations,MA,Foreman,Male,73043,Other,Married,,1
850,Full-Time,Zone C,Part-Time,Production       ,Splicing,MA,Technician,Female,95565,Other,Single,40.24,1
921,Contract,Zone C,Part-Time,Software Engineering,Field Operations,MA,Engineer,Female,34961,Other,Married,,0
1594,Part-Time,Zone A,Temporary,Production       ,Field Operations,MA,Foreman,Female,54120,Asian,Widowed,69.14,1
2204,Full-Time,Zone C,Full-Time,Sales,Catv,ID,Foreman,Female,50389,Black,Widowed,26.33,1
19,Part-Time,Zone A,Part-Time,Sales,Field Operations,TX,Driller,Female,16325,White,Divorced,28.99,1
1761,Part-Time,Zone A,Part-Time,Production       ,Field Operations,MA,Laborer,Female,1509,Black,Married,,1
1448,Full-Time,Zone C,Full-Time,Production       ,General - Con,MA,Foreman,Male,24806,Other,Single,71.98,0
806,Full-Time,Zone A,Part-Time,Production       ,Wireline Construction,MA,Project Manager,Male,50676,Other,Divorced,32.49,1
699,Part-Time,Zone C,Temporary,Production       ,Engineers,MA,Engineer,Male,6305,White,Divorced,,0
2068,Contract,Zone B,Part-Time,IT/IS,Fielders,MA,Engineer,Male,71472,Black,Married,,1
1671,Part-Time,Zone B,Temporary,Production       ,Catv,MA,Laborer,Female,51886,Other,Divorced,,1
502,Contract,Zone C,Part-Time,IT/IS,Wireline Construction,MA,Clerk,Female,73645,Asian,Married,,1
885,Full-Time,Zone B,Full-Time,Production       ,General - Eng,MA,Technician,Female,47354,Black,Widowed,27.32,1
1568,Contract,Zone A,Full-Time,Production       ,Field Operations,MA,Driller,Female,22396,Other,Married,46.57,1
1911,Part-Time,Zone C,Temporary,Production       ,Project Management - Con,MA,Supervisor,Female,6536,Other,Married,53.57,1
1468,Part-Time,Zone A,Part-Time,Production       ,Wireline Construction,MA,Lineman,Female,23076,White,Married,,1
1684,Full-Time,Zone A,Temporary,Production       ,General - Con,MA,Lineman,Female,92067,Asian,Single,,1
1506,Contract,Zone C,Part-Time,Sales,Aerial,VT,Lineman,Female,5473,Black,Widowed,35.97,1
2714,Full-Time,Zone B,Temporary,Production       ,Field Operations,MA,Foreman,Male,9420,Black,Married,54.24,1
1455,Full-Time,Zone A,Part-Time,Production       ,Fielders,MA,Engineer,Female,91039,Asian,Divorced,79.58,1
553,Full-Time,Zone C,Full-Time,IT/IS,Project Management - Con,MA,Project Manager,Female,39598,White,Married,49.89,1
517,Full-Time,Zone A,Full-Time,IT/IS,General - Sga,MA,Administrator,Female,2148,White,Single,27.66,1
348,Contract,Zone B,Part-Time,Production       ,Field Operations,MA,Laborer,Male,36153,Other,Widowed,,1
2205,Contract,Zone C,Part-Time,Sales,Field Operations,WA,Foreman,Female,92311,Hispanic,Divorced,,1
1492,Contract,Zone A,Full-Time,Production       ,Shop (Fleet),MA,Shop,Female,7972,Other,Widowed,,0
1554,Contract,Zone A,Temporary,Production       ,General - Con,MA,Foreman,Male,19755,Black,Divorced,,1
1951,Part-Time,Zone A,Full-Time,Production       ,Project Management - Eng,MA,Administrative,Female,16691,Other,Married,,1
2878,Contract,Zone C,Part-Time,Production       ,Project Management - Con,MA,Coordinator,Female,18362,Other,Widowed,32.32,0
466,Full-Time,Zone B,Part-Time,IT/IS,General - Con,MA,Laborer,Female,68298,Asian,Married,,1
2491,Part-Time,Zone B,Full-Time,Production       ,Field Operations,MA,Lineman,Female,2719,Black,Widowed,45.41,1
2792,Full-Time,Zone B,Full-Time,Production       ,Executive,MA,Administrator,Female,2126,Black,Widowed,,1
629,Contract,Zone C,Temporary,Software Engineering,Wireline Construction,MA,Driver,Male,12869,Hispanic,Widowed,81.98,1
673,Full-Time,Zone C,Temporary,Production       ,Field Operations,MA,Laborer,Male,2421,White,Divorced,60.24,1
1083,Contract,Zone C,Temporary,Production       ,General - Sga,MA,Technician,Female,79031,Black,Married,,1
1983,Full-Time,Zone B,Part-Time,IT/IS,Engineers,MA,Project Manager,Male,39919,White,Divorced,,1
2892,Full-Time,Zone B,Temporary,Production       ,Field Operations,MA,Laborer,Female,34874,Hispanic,Married,,1
1067,Contract,Zone B,Full-Time,Production       ,Splicing,MA,Coordinator,Female,18325,Hispanic,Divorced,75.08,0
1489,Full-Time,Zone A,Full-Time,Production       ,General - Con,MA,Technician,Male,86671,Other,Divorced,,0
1445,Full-Time,Zone B,Temporary,Production       ,Field Operations,MA,Laborer,Female,64371,Hispanic,Married,,1
2834,Part-Time,Zone B,Temporary,Production       ,Field Operations,MA,Administrative,Male,18868,Hispanic,Widowed,77.0,0
916,Contract,Zone B,Temporary,Admin Offices,Shop (Fleet),MA,Manager,Female,68008,White,Married,,1
2260,Part-Time,Zone A,Full-Time,Sales,Engineers,AZ,Engineer,Male,88522,White,Single,,1
1997,Full-Time,Zone C,Full-Time,Executive Office,Engineers,MA,Technician,Male,47083,Hispanic,Divorced,,1
2822,Contract,Zone C,Part-Time,Production       ,Underground,MA,Laborer,Male,26745,Black,Single,,1
1836,Contract,Zone B,Temporary,IT/IS,General - Sga,MA,Assistant,Male,10273,Hispanic,Single,59.31,1
522,Full-Time,Zone A,Temporary,IT/IS,General - Con,MA,Laborer,Female,1886,White,Single,,0
2183,Full-Time,Zone B,Full-Time,Sales,General - Con,TN,Foreman,Male,90224,White,Widowed,,1
392,Full-Time,Zone B,Part-Time,IT/IS,Aerial,MA,Foreman,Female,2048,Asian,Single,,1
1664,Contract,Zone C,Part-Time,Production       ,Field Operations,MA,Locator,Female,72118,Black,Single,,1
2121,Contract,Zone A,Temporary,IT/IS,General - Sga,MA,Manager,Female,70770,Other,Divorced,,1
646,Full-Time,Zone A,Full-Time,Software Engineering,Field Operations,MA,Foreman,Male,67825,White,Single,,1
235,Full-Time,Zone B,Temporary,Production       ,Wireline Construction,MA,Laborer,Male,90473,Other,Married,,1
1630,Contract,Zone C,Part-Time,Production       ,Field Operations,MA,Laborer,Male,28907,Hispanic,Married,,1
1320,Full-Time,Zone A,Temporary,Production       ,Field Operations,MA,Splicer,Female,1886,White,Divorced,32.9,0
160,Full-Time,Zone B,Temporary,Production       ,General - Eng,MA,Administrative,Male,74564,Other,Divorced,,1
2005,Contract,Zone C,Full-Time,Production       ,Yard (Material Handling),MA,Shop,Female,44133,Asian,Married,,0
2266,Part-Time,Zone C,Temporary,Sales,General - Sga,TN,Assistant,Male,52988,White,Married,,1
2412,Part-Time,Zone C,Part-Time,Production       ,General - Con,MA,Foreman,Male,72072,Black,Married,55.56,1
711,Full-Time,Zone B,Temporary,Production       ,General - Eng,MA,Coordinator,Male,2766,Black,Divorced,41.9,1
627,Part-Time,Zone A,Full-Time,Software Engineering,Engineers,MA,Project Manager,Male,56271,White,Single,31.24,1
1188,Part-Time,Zone C,Part-Time,Production       ,General - Con,MA,Foreman,Male,69290,White,Married,,1
1623,Full-Time,Zone C,Full-Time,Production       ,Wireless,MA,Safety,Female,17084,White,Widowed,71.84,1
1738,Contract,Zone C,Full-Time,Production       ,Field Operations,MA,Laborer,Female,26451,Asian,Divorced,76.58,1
1126,Part-Time,Zone C,Part-Time,Production       ,Field Operations,MA,Technician,Female,20484,Other,Single,64.73,1
292,Contract,Zone B,Full-Time,Production       ,Underground,MA,Laborer,Female,47989,Hispanic,Divorced,77.4,1
2034,Part-Time,Zone A,Full-Time,Admin Offices,Splicing,MA,Splicer,Male,23555,Black,Divorced,45.66,1
1205,Full-Time,Zone C,Full-Time,IT/IS,Field Operations,MA,Driller,Female,40731,Black,Widowed,54.57,1
1931,Part-Time,Zone B,Temporary,Production       ,Executive,MA,Executive Assistant,Male,14776,Black,Married,,1
2995,Part-Time,Zone C,Part-Time,Production       ,Engineers,MA,Model Assistant,Female,44500,Other,Widowed,,0
2500,Part-Time,Zone A,Part-Time,Production       ,General - Sga,MA,Supervisor,Male,53549,Black,Divorced,,0
1396,Contract,Zone A,Full-Time,Production       ,Finance & Accounting,MA,Assistant,Male,68971,Black,Widowed,,1
587,Part-Time,Zone A,Full-Time,Software Engineering,Catv,MA,Clerk,Male,2562,Other,Single,,1
119,Full-Time,Zone B,Part-Time,Sales,General - Con,ND,Foreman,Male,35786,Hispanic,Widowed,,1
2882,Part-Time,Zone B,Part-Time,Production       ,Finance & Accounting,MA,Assistant,Female,24730,White,Single,,1
95,Full-Time,Zone C,Part-Time,Sales,Splicing,KY,Splicer,Female,34369,Other,Single,41.06,1
580,Part-Time,Zone A,Part-Time,Software Engineering,General - Con,MA,Lineman,Male,2451,Black,Widowed,,0
49,Part-Time,Zone A,Temporary,Sales,Fielders,MA,Engineer,Male,95774,Asian,Divorced,,1
2975,Part-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Engineer,Male,22662,Black,Single,,0
904,Full-Time,Zone C,Temporary,Admin Offices,People Services,MA,Intern,Female,69431,Black,Widowed,,1
2417,Contract,Zone A,Part-Time,Production       ,Engineers,MA,Technician,Male,31828,Asian,Widowed,82.48,0
1368,Full-Time,Zone B,Part-Time,Production       ,Yard (Material Handling),MA,Manager,Female,71561,Asian,Widowed,64.74,0
204,Contract,Zone C,Full-Time,Production       ,Wireline Construction,MA,Apprentice,Male,12978,Other,Divorced,,1
1447,Full-Time,Zone B,Part-Time,Production       ,Technology / It,MA,Technician,Male,35018,Asian,Widowed,64.39,1
2930,Full-Time,Zone B,Temporary,Production       ,Engineers,MA,Director,Male,78039,Asian,Married,82.32,1
454,Part-Time,Zone B,Part-Time,IT/IS,Field Operations,MA,Laborer,Male,14181,Other,Divorced,32.06,1
12,Full-Time,Zone A,Temporary,Sales,Splicing,CO,Splicer,Male,80820,Other,Single,,1
2617,Contract,Zone B,Part-Time,Production       ,General - Con,MA,Laborer,Male,16165,White,Single,,1
1722,Full-Time,Zone A,Temporary,Production       ,Project Management - Con,MA,Coordinator,Female,90636,White,Single,,0
1308,Full-Time,Zone A,Full-Time,Production       ,Shop (Fleet),MA,Mechanic,Female,1902,White,Divorced,82.41,0
494,Contract,Zone A,Part-Time,IT/IS,Splicing,MA,Splicer,Female,56684,Other,Married,,1
164,Contract,Zone B,Part-Time,Production       ,Field Operations,MA,Supervisor,Female,21634,White,Married,,0
1326,Contract,Zone C,Full-Time,Production       ,Field Operations,MA,Assistant,Male,42759,Black,Divorced,81.5,1
1834,Full-Time,Zone B,Part-Time,IT/IS,Wireline Construction,CT,Foreman,Female,24054,Black,Divorced,66.99,1
2498,Part-Time,Zone B,Temporary,Production       ,General - Sga,MA,Administrator,Male,65881,Other,Divorced,,1
2754,Contract,Zone C,Temporary,Production       ,General - Con,MA,Foreman,Female,26328,Other,Single,,1
2228,Contract,Zone A,Part-Time,Sales,General - Con,AZ,Manager,Male,48881,Black,Divorced,60.39,1
1131,Part-Time,Zone A,Temporary,Production       ,Field Operations,MA,Project Manager,Male,3170,Black,Married,,1
1615,Part-Time,Zone C,Part-Time,Production       ,General - Con,MA,Technician,Female,79529,White,Married,,1
173,Contract,Zone B,Temporary,Production       ,Field Operations,MA,Technician,Female,34810,White,Single,75.48,1
198,Contract,Zone B,Part-Time,Production       ,Engineers,MA,Engineer,Female,54392,Asian,Single,,0
1865,Contract,Zone C,Temporary,Production       ,Aerial,MA,Foreman,Male,1890,White,Widowed,61.5,1
2235,Contract,Zone A,Part-Time,Sales,General - Con,ID,Foreman,Male,94177,Asian,Single,79.06,1
2129,Part-Time,Zone A,Full-Time,Sales,Project Management - Eng,MA,Manager,Male,73638,White,Married,,1
1889,Full-Time,Zone B,Full-Time,Production       ,Field Operations,MA,Technician,Male,14556,Asian,Divorced,,1
2309,Contract,Zone A,Full-Time,Sales,General - Con,AL,Laborer,Male,2091,Other,Married,,1
1532,Part-Time,Zone B,Temporary,Production       ,Project Management - Con,MA,Coordinator,Female,2154,Asian,Married,35.9,1
2811,Contract,Zone A,Part-Time,Production       ,Wireline Construction,MA,Vp,Male,39455,Other,Divorced,24.73,0
516,Part-Time,Zone A,Part-Time,IT/IS,General - Eng,MA,Administrative,Male,2452,Black,Single,53.74,0
349,Contract,Zone A,Full-Time,Production       ,General - Eng,MA,Administrative,Male,34262,Black,Married,,1
1239,Full-Time,Zone A,Part-Time,IT/IS,General - Con,OR,Locator,Male,38619,Black,Divorced,,1
1297,Part-Time,Zone C,Part-Time,IT/IS,Yard (Material Handling),MA,Coordinator,Female,46050,Other,Divorced,,1
539,Contract,Zone A,Part-Time,Software Engineering,Field Operations,MA,Laborer,Female,5707,Black,Single,,0
1394,Full-Time,Zone B,Full-Time,Production       ,General - Sga,MA,Accountant,Female,43930,Hispanic,Widowed,,1
1347,Full-Time,Zone B,Part-Time,Production       ,Field Operations,MA,Technician,Female,96290,Asian,Widowed,,1
2852,Full-Time,Zone A,Full-Time,Production       ,Engineers,MA,Project Manager,Male,53530,Black,Married,,1
1610,Contract,Zone C,Full-Time,Production       ,General - Con,MA,Clerk,Female,14973,White,Married,,1
2693,Part-Time,Zone A,Full-Time,Production       ,Aerial,MA,Lineman,Female,28645,Asian,Widowed,78.84,1
1154,Full-Time,Zone C,Part-Time,Production       ,General - Con,MA,Foreman,Male,40823,Asian,Single,,0
584,Contract,Zone A,Temporary,Software Engineering,General - Con,MA,Foreman,Male,21340,Hispanic,Married,,0
1372,Part-Time,Zone C,Temporary,Production       ,Field Operations,MA,Technician,Male,12152,Black,Married,,0
481,Part-Time,Zone C,Temporary,IT/IS,Splicing,MA,Splicer,Female,92289,Black,Married,38.15,1
1647,Part-Time,Zone B,Full-Time,Production       ,Field Operations,MA,Supervisor,Female,11079,Hispanic,Widowed,,1
171,Part-Time,Zone A,Full-Time,Production       ,Project Management - Eng,MA,Supervisor,Female,72750,Other,Married,74.56,0
107,Full-Time,Zone A,Full-Time,Sales,Engineers,KY,Engineer,Female,97002,Asian,Single,,1
412,Contract,Zone B,Part-Time,IT/IS,General - Con,MA,Lineman,Male,94433,Hispanic,Divorced,,1
1054,Full-Time,Zone A,Part-Time,Production       ,Field Operations,MA,Technician,Male,71882,Asian,Single,24.32,1
2808,Contract,Zone C,Temporary,Production       ,Engineers,MA,Engineer,Male,62173,Hispanic,Married,61.98,1
2067,Contract,Zone A,Temporary,IT/IS,Field Operations,MA,Laborer,Male,67346,Asian,Married,46.74,1
1867,Contract,Zone A,Part-Time,Production       ,Field Operations,MA,Engineer,Male,6930,Black,Single,49.81,1
2258,Full-Time,Zone B,Temporary,Sales,General - Sga,MA,Supervisor,Female,9417,Black,Divorced,60.4,1
1723,Full-Time,Zone B,Full-Time,Production       ,Splicing,MA,Splicer,Female,73850,Asian,Widowed,53.56,1
1538,Full-Time,Zone A,Temporary,Production       ,General - Con,MA,Specialist,Female,2021,White,Widowed,,1
261,Contract,Zone B,Full-Time,Production       ,Wireline Construction,MA,Manager,Female,42113,Asian,Divorced,,0
2620,Full-Time,Zone C,Full-Time,Production       ,Engineers,MA,Administrative,Female,33237,White,Married,59.81,1
2809,Contract,Zone C,Full-Time,Production       ,People Services,MA,Cpo,Female,8702,Asian,Married,45.74,1
2465,Contract,Zone A,Full-Time,Production       ,Catv,MA,Lineman,Male,26250,Hispanic,Divorced,64.56,1
2887,Part-Time,Zone A,Temporary,Production       ,General - Eng,MA,Project Manager,Male,19525,Other,Widowed,,1
941,Part-Time,Zone C,Temporary,Admin Offices,General - Sga,MA,Estimator,Female,24157,White,Widowed,,1
1469,Full-Time,Zone A,Part-Time,Production       ,Engineers,MA,Engineer,Female,80925,Hispanic,Married,,1
1709,Part-Time,Zone A,Part-Time,Production       ,Underground,MA,Labor,Female,19006,Other,Divorced,33.4,1
2070,Full-Time,Zone C,Temporary,IT/IS,Field Operations,MA,Technician,Male,24639,White,Single,69.65,1
915,Full-Time,Zone B,Part-Time,Admin Offices,Aerial,MA,Lineman,Female,2559,Asian,Single,,1
1391,Contract,Zone C,Part-Time,Production       ,Yard (Material Handling),MA,Laborer,Male,32718,Hispanic,Widowed,68.5,1
2179,Full-Time,Zone C,Part-Time,Sales,Project Management - Con,AZ,Project Manager,Male,24803,White,Single,73.9,1
1743,Full-Time,Zone C,Part-Time,Production       ,Wireline Construction,MA,Billing,Female,65842,Black,Widowed,,1
374,Contract,Zone C,Temporary,Production       ,Field Operations,MA,Laborer,Female,54738,Hispanic,Single,,1
2322,Full-Time,Zone B,Part-Time,Production       ,Technology / It,MA,Administrator,Female,1760,Black,Widowed,75.41,0
2894,Contract,Zone B,Full-Time,Production       ,Engineers,MA,Technician,Male,37576,White,Single,38.17,1
180,Full-Time,Zone A,Full-Time,Production       ,Project Management - Con,MA,Coordinator,Male,15195,Other,Married,48.82,1
1235,Contract,Zone C,Full-Time,IT/IS,Engineers,MA,Engineer,Female,19115,Hispanic,Married,61.73,1
2250,Contract,Zone B,Full-Time,Sales,Splicing,TN,Director,Male,8371,Hispanic,Divorced,,1
2245,Contract,Zone A,Full-Time,Sales,Fielders,AZ,Engineer,Male,3413,Asian,Married,,1
193,Part-Time,Zone A,Temporary,Production       ,General - Eng,MA,Specialist,Male,77580,Hispanic,Married,30.06,1
1968,Part-Time,Zone C,Part-Time,Production       ,General - Eng,MA,Engineer,Male,8880,Black,Divorced,,1
248,Full-Time,Zone C,Full-Time,Production       ,Engineers,MA,Technician,Female,70090,Hispanic,Divorced,,1
435,Part-Time,Zone B,Temporary,IT/IS,Project Management - Con,CT,Engineer,Male,58224,White,Married,35.66,0
962,Part-Time,Zone A,Full-Time,Production       ,Isp,MA,Manager,Male,2128,Hispanic,Widowed,62.14,1
525,Full-Time,Zone A,Full-Time,IT/IS,Finance & Accounting,MA,Assistant,Male,2110,Black,Single,74.97,1
1160,Part-Time,Zone C,Part-Time,Production       ,Splicing,MA,Splicer,Male,12898,Other,Divorced,40.05,1
1453,Full-Time,Zone A,Full-Time,Production       ,Project Management - Con,MA,Foreman,Female,10781,Black,Widowed,58.51,0
78,Contract,Zone B,Temporary,Sales,Field Operations,IN,Groundman,Male,72324,Hispanic,Widowed,,1
15,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,MA,Laborer,Male,2810,Black,Single,,1
815,Full-Time,Zone C,Part-Time,Production       ,Wireline Construction,MA,Foreman,Female,35941,White,Married,,1
1740,Part-Time,Zone B,Temporary,Production       ,Technology / It,MA,Administrator,Female,5348,Hispanic,Divorced,,0
151,Full-Time,Zone A,Temporary,Production       ,Field Operations,MA,Technician,Male,1760,Hispanic,Married,,1
2074,Full-Time,Zone A,Temporary,Software Engineering,Finance & Accounting,MA,Manager,Male,89368,Black,Divorced,72.06,1
91,Contract,Zone B,Part-Time,Sales,General - Eng,CA,Coordinator,Female,13249,Hispanic,Married,,1
773,Part-Time,Zone A,Full-Time,Production       ,General - Con,MA,Laborer,Female,62616,Other,Married,47.39,1
616,Full-Time,Zone C,Part-Time,Software Engineering,Splicing,MA,Billing,Female,65963,White,Married,,1
1498,Contract,Zone B,Full-Time,Production       ,Splicing,MA,Laborer,Male,91520,Other,Divorced,,1
589,Part-Time,Zone B,Part-Time,Admin Offices,Shop (Fleet),MA,Mechanic,Female,64065,White,Single,68.41,1
2634,Part-Time,Zone C,Full-Time,Production       ,Wireline Construction,MA,Foreman,Male,51434,Other,Married,,1
2248,Part-Time,Zone C,Part-Time,Sales,Engineers,AL,Engineer,Male,11366,Hispanic,Divorced,78.49,1
501,Full-Time,Zone A,Temporary,IT/IS,General - Con,MA,Laborer,Male,59834,White,Widowed,68.15,1
89,Contract,Zone B,Part-Time,Sales,Project Management - Con,CO,Coordinator,Male,96350,Asian,Divorced,,1
2255,Contract,Zone A,Temporary,Sales,Field Operations,NY,Supervisor,Male,73798,Asian,Widowed,48.66,1
413,Part-Time,Zone B,Full-Time,IT/IS,Field Operations,MA,Foreman,Male,97654,Hispanic,Single,,1
573,Contract,Zone C,Full-Time,IT/IS,Field Operations,TX,Technician,Male,18464,Black,Divorced,,0
1575,Contract,Zone B,Temporary,Production       ,General - Con,MA,Laborer,Female,81634,White,Married,,0
136,Contract,Zone B,Full-Time,Production       ,Field Operations,MA,Driver,Male,2148,Black,Widowed,,1
1260,Part-Time,Zone C,Full-Time,IT/IS,Engineers,MA,Drafter,Male,19801,White,Widowed,,1
1928,Contract,Zone C,Temporary,IT/IS,Field Operations,MA,Civil Hand,Male,91193,Asian,Single,,1
1644,Contract,Zone A,Full-Time,Production       ,Wireline Construction,MA,Laborer,Female,72287,White,Widowed,,1
2795,Contract,Zone A,Part-Time,Production       ,Shop (Fleet),MA,Manager,Female,28908,Hispanic,Married,,1
561,Contract,Zone A,Temporary,IT/IS,Shop (Fleet),MA,Mechanic,Female,73583,White,Widowed,,0
2749,Full-Time,Zone A,Full-Time,Production       ,Project Management - Con,MA,Coordinator,Female,42252,Other,Widowed,,1
821,Part-Time,Zone B,Full-Time,Production       ,Underground,MA,Operator,Female,90967,White,Divorced,36.31,1
1598,Part-Time,Zone C,Temporary,Production       ,Field Operations,MA,Laborer,Female,90678,Asian,Single,49.16,1
2146,Contract,Zone A,Temporary,Sales,Field Operations,VA,Laborer,Female,21851,Black,Divorced,37.92,0
230,Part-Time,Zone C,Full-Time,Production       ,General - Con,MA,Flagger,Female,44406,Black,Single,32.75,1
1305,Contract,Zone B,Temporary,Production       ,Fielders,MA,Engineer,Female,1902,Hispanic,Widowed,,0
2569,Contract,Zone B,Temporary,Production       ,General - Con,MA,Locator,Female,30175,Other,Widowed,,1
2471,Contract,Zone A,Full-Time,Production       ,Field Operations,MA,Coordinator,Female,53945,Other,Single,37.34,1
1213,Contract,Zone A,Full-Time,IT/IS,Engineers,MA,Field Project Manager,Female,59443,Hispanic,Divorced,,0
1854,Full-Time,Zone C,Full-Time,Production       ,Field Operations,MA,Laborer,Male,1752,Hispanic,Single,26.06,1
1031,Full-Time,Zone A,Part-Time,Production       ,Wireline Construction,MA,Foreman,Female,20292,Hispanic,Single,,1
244,Part-Time,Zone A,Temporary,Production       ,Splicing,MA,Splicer,Female,45376,Asian,Divorced,,0
2573,Contract,Zone B,Full-Time,Production       ,Isp,MA,Technician,Male,52789,Other,Single,,1
1152,Part-Time,Zone A,Full-Time,Production       ,General - Con,MA,Foreman,Male,48643,White,Divorced,,1
185,Contract,Zone A,Part-Time,Production       ,Field Operations,MA,Technician,Male,68900,Black,Single,,1
1933,Part-Time,Zone B,Part-Time,Production       ,Fielders,MA,Engineer,Female,26846,Asian,Widowed,34.56,0
706,Full-Time,Zone B,Part-Time,Production       ,Aerial,MA,Engineer,Female,95347,Hispanic,Married,,0
2077,Full-Time,Zone A,Part-Time,IT/IS,Engineers,MA,Engineer,Male,60048,Black,Single,,1
641,Full-Time,Zone B,Part-Time,Software Engineering,Wireline Construction,MA,Project Manager,Female,52694,Black,Widowed,,1
2785,Full-Time,Zone C,Part-Time,Production       ,Field Operations,MA,Foreman,Male,2126,Asian,Married,,0
1338,Contract,Zone C,Part-Time,Production       ,Project Management - Con,MA,Field Project Manager,Female,5819,Asian,Divorced,33.48,1
2170,Contract,Zone A,Full-Time,Sales,Field Operations,ID,Technician,Male,92704,Asian,Divorced,,1
474,Part-Time,Zone A,Temporary,Executive Office,Project Management - Eng,MA,Project Manager,Male,3921,Hispanic,Single,36.67,1
1256,Full-Time,Zone B,Part-Time,Sales,Aerial,MA,Lineman,Female,97969,Other,Married,,0
2022,Part-Time,Zone B,Temporary,Production       ,Aerial,MA,Lineman,Female,63427,Hispanic,Single,38.25,0
987,Contract,Zone C,Full-Time,Production       ,Aerial,MA,Labor,Male,95839,Asian,Married,58.83,1
2350,Part-Time,Zone B,Full-Time,Production       ,General - Con,MA,Laborer,Male,37852,Hispanic,Single,,1
1552,Part-Time,Zone B,Temporary,Production       ,Engineers,MA,Engineer,Female,61958,Asian,Single,,1
2135,Contract,Zone B,Full-Time,IT/IS,Field Operations,MA,Technician,Male,83544,Other,Married,,1
2145,Contract,Zone A,Temporary,IT/IS,Engineers,MA,Technician,Male,81338,Asian,Widowed,,1
1862,Full-Time,Zone A,Part-Time,Admin Offices,Field Operations,MA,Laborer,Male,1460,White,Single,62.67,1
635,Part-Time,Zone A,Part-Time,Software Engineering,Engineers,MA,Program Manager,Male,59717,Hispanic,Married,55.81,0
800,Part-Time,Zone C,Part-Time,Production       ,Billable Consultants,MA,Engineer,Female,89365,Other,Divorced,,1
2685,Part-Time,Zone B,Full-Time,Production       ,Shop (Fleet),MA,Mechanic,Male,85416,Asian,Single,,0
1309,Contract,Zone A,Part-Time,Production       ,Field Operations,MA,Technician,Male,2048,Other,Married,,1
359,Full-Time,Zone A,Part-Time,Production       ,Field Operations,MA,Technician,Female,65379,Black,Divorced,62.24,0
1340,Contract,Zone A,Full-Time,Production       ,General - Con,MA,Supervisor,Female,39000,White,Divorced,,1
2370,Contract,Zone A,Temporary,Production       ,Aerial,MA,Lineman,Male,24994,Other,Married,,1
2409,Contract,Zone C,Part-Time,Production       ,Catv,MA,Lineman,Female,8731,Black,Divorced,36.48,1
227,Part-Time,Zone A,Part-Time,Production       ,Aerial,MA,Lineman,Male,17975,Asian,Divorced,,1
2919,Part-Time,Zone B,Temporary,Production       ,Yard (Material Handling),MA,Lineman,Female,47048,Other,Divorced,67.5,0
982,Full-Time,Zone A,Part-Time,Production       ,General - Con,MA,Technician,Female,2458,Other,Widowed,43.91,0
832,Full-Time,Zone A,Temporary,Production       ,General - Con,MA,Laborer,Male,43998,White,Single,,0
1129,Full-Time,Zone B,Temporary,Production       ,Project Management - Con,MA,Manager,Female,40039,Asian,Widowed,31.16,1
2877,Part-Time,Zone A,Temporary,Production       ,Wireline Construction,MA,Foreman,Female,71443,Other,Single,40.47,1
2440,Part-Time,Zone A,Temporary,Production       ,Technology / It,MA,Manager,Female,75033,White,Single,,1
148,Part-Time,Zone A,Temporary,Production       ,Field Operations,MA,Groundman,Male,2445,Hispanic,Single,37.67,0
1013,Part-Time,Zone A,Temporary,Production       ,Field Operations,MA,Driver,Female,57866,Hispanic,Single,,1
1971,Contract,Zone C,Temporary,Production       ,General - Con,MA,Foreman,Female,75907,White,Widowed,65.16,1
1739,Contract,Zone B,Part-Time,Production       ,Field Operations,MA,Operator,Female,7438,Asian,Widowed,27.31,1
1893,Part-Time,Zone A,Full-Time,Production       ,Fielders,MA,Engineer,Female,64961,White,Single,60.31,0
